title,date,display date,photo url,caption,body,read more url
Six officers placed on leave after opening fire on newspaper carriers,"February 8, 2013",Feb. 8,http://a.scpr.org/i/59220e3c9231217ac1e8bd84315d385e/54689-six.jpg,Photo: Chris Carlson/AP,"Six LAPD officers who opened fired on two women in a Toyota Tundra pickup truck similar to Dorner's vehicle are placed on paid administrative leave, a LAPD spokesman says. The officers fired an unknown number of shots at Margie Carranza, 47, and her 71-year-old mother, Emma Hernandez, who were delivering newspapers before dawn. The police officers thought their truck looked like one being driven by Dorner, who earlier that morning had allegedly shot at several officers in Riverside, killing one of them. Carranza required stitches in her hand, and Emma Hernandez was shot twice in her back. Hernandez was in good condition at Harbor UCLA Medical Center. A lawyer for the victims estimates officers fired between 20 and 30 times at the pickup truck. (KPCC)",http://www.scpr.org/news/2013/02/08/35886/attorney-two-women-shot-police-torrance-says-offic/
Twin Towers lockdown lifted,"February 8, 2013",Feb. 8,,,"Shortly before noon, officials lift a lockdown at the Twin Towers Correctional Facility after determining a report of Dorner being in the area was not credible. (KPCC/L.A. Times)",http://latimesblogs.latimes.com/lanow/2013/02/dorner-manhunt-twin-towers-county-jail-lockdown-lifted-1.html
Friday update yields no new information,"February 8, 2013",Feb. 8,http://a.scpr.org/i/0d8758821f46f2bf7dde60cb405d97cb/54792-wide.jpg,Photo: Chris Carlson/AP,"Officers continue to search the Big Bear area, and during a news conference just after noon, San Bernardino Sheriff John McMahon says more than 200 Big Bear cabins are abandoned or empty. When asked what it would take to call of the search, McMahon said, ""Some reasonable information that would suggest (Dorner is) no longer in this area."" Big Bear Lake Mayor Jay Obernolte also spoke at the news conference. He said that the thing he's been asked the most is if people in the community are panicking, and that, no, they're not. ""We've been assured that the suspect does not pose a substantial threat to the ski resorts or the surrounding community,"" Obernolte said. (KPCC)",http://www.scpr.org/news/2013/02/08/35879/lapd-manhunt-police-scour-big-bear-mountains-for-e/
LAPD reinstates its tactical alert,"February 8, 2013",Feb. 8,,,"KPCC's Erika Aguilar reports that a heavy call load has forced the LAPD to reinstate its tactical alert at about 11:45 a.m. Officials cite numerous calls related to possible sightings of Dorner, in addition to normal service calls. Rudy Lopez from LAPD Media Relations said that LAPD officers don't want to think of Dorner as ""one of [their] own."" There's no ETA for when the tactical alert will be lifted once again. (KPCC)",http://www.scpr.org/news/2013/02/08/35879/lapd-manhunt-police-scour-big-bear-mountains-for-e/
Officers search home of Dorner's mother,"February 8, 2013",Feb. 8,https://pbs.twimg.com/media/BCndZLuCYAI6DP0.jpg:large,Photo: KPCC,"KPCC's Molly Peterson and Erika Aguilar report some 12 investigators searched through the home of Dorner's mother on Friday. “They were prepared that he might be here,” Whalen said. Detectives were very cautious when they entered the house, Irvine Police Lt. Bill Whalen says. Whalen wouldn't talk about what evidence was taken from the house or if there were weapons found. The license plates on the cars parked in the garage at the home were removed. News media who had been at the house yesterday say the plates had been removed by the time they got there at 7:30 a.m. Thursday. The Irvine Police Department was the lead agency on the search warrant, assisted by the U.S. Marshals and the regional computer lab, which is overseen by the FBI. There were also detectives from LAPD and the Riverside Police Department there. Officers from the Irvine Police Department, the La Palma Police Department and the U.S. Marshals service — in addition to the Orange County Regional Computer Forensics Laboratory — are at the scene. Officers are seen going in and out of the home in bulletproof vests, Peterson reports. (KPCC)",http://www.scpr.org/news/2013/02/08/35887/lapd-manhunt-search-warrant-issued-for-alleged-cop/
AP details a 2006 court filing after Dorner split with then-girlfriend,"February 8, 2013",Feb. 8,,,"Court records obtained by The Associated Press show Dorner's ex-girlfriend called him ""severely emotionally and mentally disturbed"" after the two split in 2006. The court records show Dorner unsuccessfully requested a restraining order against his ex-girlfriend after she posted his badge number on a website called Dontdatehimgirl.com. In the posting, Ariana Williams calls Dorner ""twisted"" and ""super paranoid"" and warns other women on the website not to date him. (AP)",
Naval bases in California and Nevada taking heightened security measures,"February 8, 2013",Feb. 8,,,"CNN reports that U.S. Naval bases in California and Nevada are ""maintaining a heightened security posture,"" a measure ""ordered overnight by Rear Adm. Dixon Smith, commander of the Navy's southwest region."" CNN reported the move was made after it became clear that Dorner was able to get access to the Naval Base at Point Loma and stay in a motel there on Tuesday. (CNN)",
Jackson urges Dorner to surrender to authorities,"February 8, 2013",Feb. 8,,,"KNX1070′s Charles Feldman reports the Rev. Jesse Jackson issues a public plea to Dorner to surrender to authorities immediately. Jackson, the civil rights icon and leader of the Rainbow PUSH Coalition, said he would gladly receive Dorner himself in order to save lives. (KNX1070)",http://losangeles.cbslocal.com/2013/02/08/jesse-jackson-urges-alleged-cop-killer-to-surrender/
Navy makes Dorner's service record public ,"February 8, 2013",Feb. 8,,,The U.S. Navy on Friday afternoon releases Dorner's service record and military biographical data. Dorner left the Navy on Feb. 1. (mydesert.com),http://military.blogs.mydesert.com/2013/02/07/navy-releases-suspected-killers-service-record/
Beck speaks to the L.A. Times about shooting of newspaper carriers on Thursday,"February 8, 2013",Feb. 8,,,"The L.A. Times interviews LAPD Chief Charlie Beck, who speaks about the investigation into the shooting on Thursday of 47-year-old Margie Carranza and her 71-year-old mother Emma Hernandez in Torrance. (L.A. Times)","http://www.latimes.com/news/local/la-me-torrance-shooting-20130209,0,4414028.story"
